goal,stream,pillar,theme,timeframe
Increase year-round visitor demand,Market Growth,Visitor Economy,Demand intelligence and seasonal diversification,2026 Q2 to 2026 Q4
Improve destination readiness in communities,Regional Development,Regional Development,Destination readiness capacity support,2026 to 2027
Strengthen tourism workforce retention,Workforce,Workforce,Employer retention supports and training,2026 to 2027
Expand air access and strategic routes,Connectivity,Connectivity,Air service development partnerships,2026 Q3 to 2027 Q4
Improve rural visitor mobility,Connectivity,Connectivity,Intercity and rural mobility pilots,2026 Q2 to 2027 Q2
Increase major events and festival draw,Experience Quality,Experience Quality,Events and festivals growth support,2026 to 2028
Advance sustainable accommodation upgrades,Destination Readiness,Destination Readiness,Low carbon retrofits and resiliency,2026 Q3 to 2028 Q4
Strengthen travel trade channels,Market Reach,Market Reach,Travel trade enablement and digital tools,2026 to 2027
Improve tourism data interoperability,Productivity,Sector Productivity,Shared standards and reporting,2026 Q2 to 2027 Q4
Support seasonal workforce housing,Workforce,Workforce,Seasonal housing partnerships,2026 Q3 to 2028 Q1
Boost international campaign performance,Market Growth,Visitor Economy,Campaign optimization in priority markets,2026 Q3 to 2027 Q4
Scale Indigenous tourism development,Regional Development,Regional Development,Indigenous tourism product and market growth,2026 to 2028
