goal,stream,pillar,theme,timeframe
Scale biomanufacturing readiness in B.C.,Innovation Capacity,Industrial Growth,Biomanufacturing capacity and scale-up readiness,2026 Q2 to 2028 Q4
Expand clinical trial attraction and execution,Research Strength,Research Excellence,Clinical trial competitiveness and sponsor engagement,2026 to 2028
Strengthen commercialization of home-grown IP,Market Growth,Commercialization,IP translation and venture growth support,2026 Q3 to 2029 Q1
Improve talent pipeline for regulated life sciences roles,Workforce,Skills and Talent,Applied training and credential pathways,2026 to 2028
Accelerate medtech export market access,Trade Expansion,Global Markets,Target market expansion and regulatory navigation,2026 Q2 to 2027 Q4
Advance procurement pathways for B.C. health innovation,Public Adoption,Market Access,Public procurement and pilot adoption pathways,2026 Q3 to 2028 Q2
Enable faster regulatory and permitting navigation,Regulatory Enablement,Policy and Regulation,Permitting and compliance process clarity,2026 to 2027
Increase partnership with research hospitals and labs,Research Partnerships,Research Excellence,Applied research collaboration agreements,2026 Q2 to 2028 Q1
Support scale-up infrastructure and lab space availability,Infrastructure Development,Industrial Growth,Shared infrastructure and lab space capacity,2026 Q4 to 2029 Q2
Improve data interoperability for life sciences decision-making,Digital Foundations,Productivity,Data standards and integrated analytics,2026 to 2028
