"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Provincial and territorial trade flows, by detailed product classification, current and constant dollars","36100709",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610070901",2,"CURRENT - a cube available to the public and that is current","Annual","2022-01-01","2024-01-01","4",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography, exporting",3,""
"2","Geography, importing",4,""
"3","Prices",5;6,""
"4","Product",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Newfoundland and Labrador, exporting","[10]","1","","",,
"1","Prince Edward Island, exporting","[11]","2","","",,
"1","Nova Scotia, exporting","[12]","3","","",,
"1","New Brunswick, exporting","[13]","4","","",,
"1","Quebec, exporting","[24]","5","","",,
"1","Ontario, exporting","[35]","6","","",,
"1","Manitoba, exporting","[46]","7","","",,
"1","Saskatchewan, exporting","[47]","8","","",,
"1","Alberta, exporting","[48]","9","","",,
"1","British Columbia, exporting","[59]","10","","",,
"1","Yukon, exporting","[60]","11","","",,
"1","Northwest Territories, exporting","[61]","12","","",,
"1","Nunavut, exporting","[62]","13","","",,
"1","International, exporting","","14","","",,
"2","Newfoundland and Labrador, importing","","1","","",,
"2","Prince Edward Island, importing","","2","","",,
"2","Nova Scotia, importing","","3","","",,
"2","New Brunswick, importing","","4","","",,
"2","Quebec, importing","","5","","",,
"2","Ontario, importing","","6","","",,
"2","Manitoba, importing","","7","","",,
"2","Saskatchewan, importing","","8","","",,
"2","Alberta, importing","","9","","",,
"2","British Columbia, importing","","10","","",,
"2","Yukon, importing","","11","","",,
"2","Northwest Territories, importing","","12","","",,
"2","Nunavut, importing","","13","","",,
"2","International, importing","","14","","",,
"3","Current prices","","1","","",,
"3","2017 constant prices","","2","","",,
"4","Oilseeds (except canola) [MPG111A02]","","18","","",,
"4","Wheat [MPG111A03]","","19","","",,
"4","Grains (except wheat) [MPG111A04]","","20","","",,
"4","Fresh potatoes [MPG111A05]","","21","","",,
"4","Fresh vegetables (except potatoes) [MPG111A08]","","22","","",,
"4","Fresh fruit and nuts [MPG111A10]","","23","","",,
"4","Other miscellaneous crop products [MPG111A11]","","24","","",,
"4","Cannabis seeds, plants and flowering tops [MPG111C00]","","25","","",,
"4","Cattle and calves [MPG112001]","","26","","",,
"4","Unprocessed milk [MPG112002]","","27","","",,
"4","Hogs [MPG112003]","","28","","",,
"4","Eggs in shell [MPG112004]","","29","","",,
"4","Poultry [MPG112005]","","30","","",,
"4","Other live animals [MPG112006]","","31","","",,
"4","Raw furskins, and animal products n.e.c. [MPG112007]","","32","","",1,
"4","Logs, pulpwood and other forestry products [MPG113000]","","33","","",,
"4","Fish, crustaceans, shellfish and other fishery products [MPG114000]","","34","","",,
"4","Iron ores and concentrates [MPG212210]","","35","","",,
