Program ID,Program Name,Lead Funding Source,Stream.lookupValue,Pillar.lookupValue,Theme.lookupValue,Region.lookupValue,Date Announced,Partner Organizations,Description,Note,Total Commitment Value,Commitment Status,Jobs Created,Jobs Protected,Sector.lookupValue
FP-001,Skilled Trades Seat Expansion 2026,Provincial,People and Skills,Strengthening Our Workforce,Skills Training,Province-wide,2026-01-15,SkilledTradesBC and PSIs,Funds additional seats and equipment upgrades,Phase 1 launch,120,In Progress,540,0,Workforce
FP-002,Regional Workforce Mobility Grants,Provincial,People and Skills,Strengthening Our Workforce,Partnerships,Northern BC,2026-02-04,Local governments and employers,Supports relocation and retention in high-demand regions,Targeted to rural employers,38,In Progress,180,120,Workforce
FP-003,Major Projects Permitting Support Unit,Federal,Project Delivery,Delivering Major Projects Faster,Permitting & Authorizations,Province-wide,2026-02-18,Federal agencies and EAO,Joint review coordination and staffing support,Cost-shared model,95,Scoping,220,410,Infrastructure
FP-004,Strategic Infrastructure Readiness Fund,Provincial,Project Delivery,Delivering Major Projects Faster,Investment Attraction,Fraser Valley,2026-03-07,Infrastructure BC and utilities,Pre-construction readiness for strategic projects,Utility tie-in focus,210,In Progress,640,350,Major Projects
FP-005,Indo-Pacific Export Readiness Cohort,Attracted,Trade and Investment,Diversifying Markets,Partnerships,Metro Vancouver,2026-03-22,Trade and Invest BC and chambers,Co-funded advisory and market entry package,Private co-sponsorship,55,In Progress,140,80,Trade
FP-006,Port and Gateway Resilience Initiative,Federal,Trade and Investment,Diversifying Markets,Supply Chain,Lower Mainland,2026-04-02,Port authorities and logistics firms,Improves throughput and multimodal reliability,Aligned to gateway strategy,175,In Progress,310,500,Supply Chain
FP-007,Targeted Sector Scale-Up Program,Attracted,Sector Growth,Growing Targeted Sectors,Investment Attraction,Vancouver Island Coast,2026-04-19,Private investors and accelerators,Supports growth-stage firms with matched funding,Round 1 approvals complete,130,In Progress,420,95,Targeted Sectors
FP-008,Advanced Manufacturing Digitalization Stream,Provincial,Sector Growth,Growing Targeted Sectors,Tech adoption,Thompson Okanagan,2026-05-01,Manufacturing associations and tech vendors,Automation adoption and process optimization grants,Focus on SME productivity,88,In Progress,260,150,Manufacturing
FP-009,Rural Export Logistics Pilot,Other,Trade and Investment,Diversifying Markets,Supply Chain,Cariboo,2026-05-11,Regional development agencies,Pilot for shared export logistics planning,Cross-regional routing support,24,New,75,60,Trade
FP-010,Credential Recognition Fast-Track Supports,Provincial,People and Skills,Strengthening Our Workforce,policy,Province-wide,2026-05-18,Regulatory bodies and colleges,Improves speed of professional recognition pathways,Initial framework phase,42,Scoping,110,40,Workforce
FP-011,Strategic Site Servicing Program,Provincial,Project Delivery,Delivering Major Projects Faster,Permitting & Authorizations,Kootenay,2026-05-27,Municipalities and utility providers,Accelerates servicing for investment-ready sites,Priority list published,67,In Progress,190,85,Major Projects
FP-012,Life Sciences Scale-Up Co-investment,Attracted,Sector Growth,Growing Targeted Sectors,Investment Attraction,Metro Vancouver,2026-06-06,Industry consortium,Matched co-investment for advanced life sciences manufacturing,Targeted subsector initiative,160,In Progress,380,120,Life Sciences
