News ID,Date,Title,Stream,Pillar,Theme,Sector,Region,Project ID,Ministry,URL,Key Message,Temperature Rate,Target?,Action Plan?,Funding/Investment?,Policy/Regulation?,Infrastructure?,Investment Promotion?,LW Mentioned?,Tags
NEWS-001,2026-01-16,Training institutions expand applied seat capacity,People and Skills,Strengthening Our Workforce,Skills Training,Workforce,Province-wide,FP-001,Post-Secondary Education and Future Skills,https://www.victoriatimescolonist.com,Employers report stronger pipeline confidence,Warm,Yes,Yes,Yes,No,No,No,Yes,Workforce|Skills
NEWS-002,2026-02-05,Rural employers cite benefits from mobility grants,People and Skills,Strengthening Our Workforce,Partnerships,Workforce,Northern BC,FP-002,Post-Secondary Education and Future Skills,https://www.princegeorgecitizen.com,Mobility supports improved hiring in remote locations,Warm,Yes,Yes,Yes,No,No,No,Yes,Regional|Workforce
NEWS-003,2026-02-19,New permitting unit receives first project requests,Project Delivery,Delivering Major Projects Faster,Permitting & Authorizations,Major Projects,Province-wide,FP-003,Transportation and Transit,https://www.biv.com,Project proponents noted clearer review sequencing,Hot,No,Yes,No,Yes,Yes,No,Yes,Permitting|Major Projects
NEWS-004,2026-03-08,Site readiness fund expected to unlock private capital,Project Delivery,Delivering Major Projects Faster,Investment Attraction,Infrastructure,Fraser Valley,FP-004,Infrastructure BC,https://www.theglobeandmail.com,Early-stage readiness lowers financing risk,Warm,No,Yes,Yes,No,Yes,No,Yes,Infrastructure|Investment
NEWS-005,2026-03-24,Export cohort participants prioritize ASEAN markets,Trade and Investment,Diversifying Markets,Partnerships,Trade,Metro Vancouver,FP-005,Jobs Economic Development and Innovation,https://www.theglobeandmail.com,Participating firms reported stronger market intelligence,Warm,Yes,Yes,Yes,No,No,No,Yes,Trade|Diversification
NEWS-006,2026-04-04,Gateway upgrades reduce turnaround uncertainty,Trade and Investment,Diversifying Markets,Supply Chain,Trade Logistics,Lower Mainland,FP-006,Transportation and Transit,https://www.bnnbloomberg.ca,Stakeholders highlighted reliability gains,Hot,No,No,Yes,No,Yes,No,Yes,Logistics|Gateway
NEWS-007,2026-04-21,Scale-up stream attracts strong demand from growth firms,Sector Growth,Growing Targeted Sectors,Investment Attraction,Targeted Sectors,Vancouver Island Coast,FP-007,Jobs Economic Development and Innovation,https://www.timescolonist.com,Applications exceeded initial envelope,Warm,Yes,Yes,Yes,No,No,Yes,Yes,Investment|Scale-up
NEWS-008,2026-05-02,Manufacturers report productivity gains from digital grants,Sector Growth,Growing Targeted Sectors,Tech adoption,Manufacturing,Thompson Okanagan,FP-008,Jobs Economic Development and Innovation,https://www.kelownacapnews.com,Participants cited lower downtime and faster throughput,Warm,No,No,Yes,No,No,No,Yes,Manufacturing|Tech
NEWS-009,2026-05-10,Kootenay communities align on servicing timelines,Project Delivery,Delivering Major Projects Faster,Investment Attraction,Major Projects,Kootenay,INF-006,Infrastructure BC,https://www.crestonvalleyadvance.ca,Regional coordination improved project certainty,Warm,No,Yes,Yes,No,Yes,No,Yes,Regional|Sites
NEWS-010,2026-05-26,Capital partner forum expected to deepen investor pipeline,Project Delivery,Delivering Major Projects Faster,Investment Attraction,Major Projects,Lower Mainland,IP-005,Transportation and Transit,https://www.biv.com,Institutions signaled interest in long-horizon assets,Cool,No,No,No,No,No,Yes,Yes,Finance|Major Projects
NEWS-011,2026-06-07,Life sciences co-investment draws new proposals,Sector Growth,Growing Targeted Sectors,Investment Attraction,Life Sciences,Metro Vancouver,FP-012,Jobs Economic Development and Innovation,https://www.biv.com,Pipeline of domestic manufacturing projects expands,Warm,Yes,Yes,Yes,No,No,Yes,Yes,Life Sciences|Investment
NEWS-012,2026-06-12,Credential pathway reforms welcomed by employers,People and Skills,Strengthening Our Workforce,policy,Professional Services,Province-wide,FP-010,Post-Secondary Education and Future Skills,https://www.vancouversun.com,Employers expect shorter onboarding timelines,Cool,Yes,Yes,No,Yes,No,No,Yes,Regulation|Workforce
