Commitment ID,Goal,Directed / Collective,Baseline,Contacts,Note,Action Plan,Stream,Pillar,Theme,Sector,Lead Ministry,Timeframe
CMT-001,Increase apprenticeship seats in high-demand occupations,Directed,4200 seats in 2025,SkilledTradesBC and PSI network,Linked to regional labour demand forecasts,Look West Workforce Acceleration Plan,People and Skills,Strengthening Our Workforce,Skills Training,Construction and Manufacturing,Post-Secondary Education and Future Skills,By 2028
CMT-002,Launch expedited permitting protocol for strategic projects,Directed,Average 22 months to decision in 2025,Environmental Assessment Office and line ministries,Applies to designated major projects,Major Projects Delivery Action Plan,Project Delivery,Delivering Major Projects Faster,Permitting & Authorizations,Major Infrastructure,Transportation and Transit,By Q4 2027
CMT-003,Expand employer-led co-op placements,Collective,3100 annual placements in 2025,Industry associations and PSIs,Priority for targeted sectors,Look West Workforce Acceleration Plan,People and Skills,Strengthening Our Workforce,Skills Training,Multi-sector,Post-Secondary Education and Future Skills,By 2027
CMT-004,Increase outbound trade missions to priority Indo-Pacific markets,Directed,8 missions in 2025,Trade and Invest BC,Focus on SMEs entering new markets,Indo-Pacific Market Diversification Plan,Trade and Investment,Diversifying Markets,Partnerships,Export-oriented sectors,Jobs Economic Development and Innovation,By 2027
CMT-005,Create investment-ready site inventory for major projects,Directed,No unified provincial inventory in 2025,Infrastructure BC and regional partners,Inventory aligned to utility readiness,Major Projects Delivery Action Plan,Project Delivery,Delivering Major Projects Faster,Investment Attraction,Infrastructure,Transportation and Transit,By Q2 2027
CMT-006,Scale digital adoption support for manufacturers,Collective,145 firms supported in 2025,Digital Supercluster and partner agencies,Focus on productivity and automation,Targeted Sectors Growth Plan,Sector Growth,Growing Targeted Sectors,Tech adoption,Manufacturing,Jobs Economic Development and Innovation,By 2028
CMT-007,Establish cross-ministry barrier resolution forum,Directed,Ad hoc issue resolution in 2025,Cabinet Operations and line ministries,Monthly issue triage and escalation,Major Projects Delivery Action Plan,Project Delivery,Delivering Major Projects Faster,policy,Major Projects,Office of the Premier,By 2026
CMT-008,Support commercialization pathways for clean technology SMEs,Collective,72 firms in commercialization pipeline in 2025,Innovate BC and regional accelerators,Includes pilot procurement pathways,Targeted Sectors Growth Plan,Sector Growth,Growing Targeted Sectors,Investment Attraction,Clean Technology,Jobs Economic Development and Innovation,By 2028
CMT-009,Increase regional export advisory capacity,Directed,34 advisors across regions in 2025,Regional economic development organizations,Shared service model for smaller communities,Indo-Pacific Market Diversification Plan,Trade and Investment,Diversifying Markets,Supply Chain,Trade Services,Jobs Economic Development and Innovation,By 2027
CMT-010,Modernize recognition pathways for skilled newcomers,Collective,Average 14 months credential recognition in 2025,Regulatory colleges and ministries,Aligned with priority occupations,Look West Workforce Acceleration Plan,People and Skills,Strengthening Our Workforce,policy,Professional Services,Post-Secondary Education and Future Skills,By 2028
