Announcemnet ID,Date,Headline,Subtitle,Source,URL,Key Message,Target?,Action Plan?,Funding/Investment?,Policy/Regulation?,Infrastructure?,Investment Promotion?,LW Mentioned?,Note,Stream,Pillar,Theme,Primary Sector,Secondary Sectors,Region,Project ID,Ministry
ANN-0001,2026-05-14,Spring regional tourism resilience package announced,Multi-year supports for destination recovery readiness,BC Government News,https://news.gov.bc.ca/releases/2026JEDI0001-000801,Program aligns regional actions with destination competitiveness,Yes,Yes,Yes,No,Yes,Yes,Yes,Initial announcement for regional intake,Regional Development,Destination Readiness,Resilience and competitiveness,Tourism,Accommodation; Recreation,Interior,PRJ-T-001,Jobs Economic Development and Innovation
ANN-0002,2026-05-02,New visitor mobility corridor between hubs,Integrated bus and intermodal schedule for peak periods,Ministry of Transportation and Transit,https://www2.gov.bc.ca/gov/content/transportation,Improves access to tourism corridors,Yes,Yes,No,Yes,Yes,No,Yes,Policy and operations package,Connectivity,Infrastructure,Visitor mobility,Tourism,Transportation,Thompson Okanagan,PRJ-T-002,Transportation and Transit
ANN-0003,2026-04-25,Major cultural events envelope expanded,Support for festival organizers and venue operations,Destination BC,https://www.destinationbc.ca,Supports shoulder-season visitor demand,Yes,No,Yes,No,No,Yes,Yes,Funding focused on event programming,Market Reach,Experience Quality,Events and demand generation,Tourism,Recreation; Arts,Metro Vancouver,PRJ-T-003,Destination BC
ANN-0004,2026-04-18,Manufacturing productivity accelerator intake opens,Targeted productivity tools for mid-size manufacturers,BC Government News,https://news.gov.bc.ca/releases/2026JEDI0001-000699,Not tourism specific,Yes,No,Yes,No,No,No,No,Included to test filtering,Manufacturing Growth,Productivity,Industrial modernization,Manufacturing,Life Sciences; Clean Tech,Fraser Valley,PRJ-M-101,Jobs Economic Development and Innovation
ANN-0005,2026-04-06,Air route development incentives launched,Co-funded package for strategic route expansion,Airport Authority Update,https://www.yvr.ca/en/about-yvr/newsroom,Improves tourism access and frequency,Yes,Yes,Yes,No,Yes,Yes,Yes,Joint industry-government initiative,Connectivity,Visitor Economy,International access,Transportation,Tourism; Trade,Province-wide,PRJ-T-004,Transportation and Transit
ANN-0006,2026-03-29,Hospitality workforce retention supports announced,Training and seasonal housing tools for operators,WorkBC Bulletin,https://www.workbc.ca/news-and-events,Addresses labour constraints in tourism operations,Yes,Yes,Yes,No,No,No,Yes,Applies to hotels and food services,Workforce,Workforce,Retention and skills,Tourism,Food Services; Accommodation,Vancouver Island Coast,PRJ-T-005,Post-Secondary Education and Future Skills
ANN-0007,2026-03-11,Port logistics reliability framework updated,New protocol for critical freight windows,BC Ports Authority,https://www.portvancouver.com/news-and-media,Primarily trade focused policy refresh,No,No,No,Yes,Yes,No,No,Non-tourism baseline row,Trade Logistics,Policy,Freight reliability,Trade,Transportation; Manufacturing,Lower Mainland,PRJ-L-009,Transportation and Transit
ANN-0008,2026-02-20,Indigenous tourism growth stream renewed,Expanded funding for market-ready Indigenous experiences,Indigenous Tourism BC,https://www.indigenousbc.com/news,Supports Indigenous tourism development pathways,Yes,Yes,Yes,No,No,Yes,Yes,Second intake announced for FY 2026/27,Regional Development,Inclusion,Indigenous tourism growth,Tourism,Recreation; Culture,North Coast Nechako,PRJ-T-006,Indigenous Relations and Reconciliation
ANN-0009,2026-02-03,Short-term rental compliance framework clarified,Operational guidance for local compliance and reporting,BC Government News,https://news.gov.bc.ca/releases/2026HOUS0001-000302,Regulatory guidance affecting tourism accommodation,Yes,Yes,No,Yes,No,No,Yes,Impacts accommodation operators,Destination Readiness,Policy,Accommodation standards,Housing,Tourism; Accommodation,Province-wide,PRJ-T-007,Housing and Municipal Affairs
ANN-0010,2026-01-22,Global marketing partnership for winter travel,Coordinated campaign in priority international markets,Destination BC,https://www.destinationbc.ca/what-we-do/marketing,Boosts inbound tourism demand and brand reach,Yes,Yes,Yes,No,No,Yes,Yes,Campaign co-investment with industry partners,Market Reach,Visitor Economy,International promotion,Tourism,Travel Services; Recreation,Kootenay,PRJ-T-008,Destination BC
